[100, 41, 8, 100, 80, 10, 100, 104, 3, 100, 111, 7, 100, 223, 15, 200, 1, 10, 200, 11, 15, 200, 40, 7, 200, 59, 8, 200, 96, 3];[0]
[100, 4, 10, 100, 18, 3, 100, 76, 15, 100, 92, 8, 100, 267, 10, 200, 40, 7, 200, 120, 2, 200, 157, 10, 200, 223, 15, 200, 236, 3];[1]
[100, 2, 8, 100, 40, 7, 100, 64, 15, 100, 67, 3, 100, 117, 10, 200, 29, 3, 200, 59, 8, 200, 60, 15, 200, 112, 2, 200, 412, 10];[0]
[100, 4, 2, 100, 53, 10, 100, 82, 7, 100, 107, 7, 100, 421, 15, 200, 32, 7, 200, 76, 15, 200, 96, 3, 200, 134, 10, 200, 157, 8];[1]
[100, 1, 10, 100, 92, 8, 100, 107, 15, 100, 117, 10, 100, 429, 3, 200, 7, 10, 200, 67, 3, 200, 98, 8, 200, 421, 15, 200, 432, 10];[0]
[100, 4, 8, 100, 41, 8, 100, 60, 15, 100, 67, 3, 100, 412, 10, 200, 6, 3, 200, 16, 7, 200, 63, 10, 200, 76, 15, 200, 92, 8];[0]
[100, 40, 7, 100, 67, 3, 100, 72, 15, 100, 103, 10, 100, 150, 8, 200, 8, 10, 200, 76, 15, 200, 81, 3, 200, 98, 8, 200, 412, 10];[1]
[100, 15, 3, 100, 76, 15, 100, 85, 8, 100, 126, 10, 100, 412, 10, 200, 40, 7, 200, 96, 3, 200, 105, 10, 200, 107, 15, 200, 157, 8];[1]
[100, 25, 10, 100, 28, 15, 100, 117, 8, 100, 157, 10, 100, 236, 3, 200, 18, 3, 200, 59, 8, 200, 76, 15, 200, 103, 10, 200, 201, 10];[1]
[100, 8, 7, 100, 67, 3, 100, 107, 15, 100, 117, 8, 100, 412, 10, 200, 40, 10, 200, 60, 15, 200, 85, 8, 200, 157, 7, 200, 236, 3];[1]
[100, 39, 8, 100, 98, 10, 100, 103, 10, 100, 236, 3, 100, 245, 15, 200, 67, 3, 200, 76, 15, 200, 92, 8, 200, 126, 10, 200, 412, 10];[0]
[100, 4, 8, 100, 67, 3, 100, 72, 15, 100, 92, 8, 100, 412, 10, 200, 56, 15, 200, 61, 5, 200, 157, 8, 200, 223, 7, 200, 429, 3];[1]
[100, 7, 10, 100, 40, 7, 100, 67, 3, 100, 72, 15, 100, 157, 8, 200, 13, 2, 200, 76, 15, 200, 150, 8, 200, 412, 10, 200, 429, 3];[1]
[100, 15, 3, 100, 105, 10, 100, 111, 7, 100, 131, 15, 100, 150, 8, 200, 1, 10, 200, 60, 15, 200, 67, 3, 200, 92, 8, 200, 107, 8];[0]
[100, 60, 15, 100, 81, 3, 100, 92, 8, 100, 157, 8, 100, 267, 10, 200, 30, 15, 200, 40, 7, 200, 82, 3, 200, 112, 7, 200, 114, 8];[0]
